Canzone,Parola,Conteggio
Caparezza - Sono Il Tuo Sogno Eretico,sogno,15
Caparezza - Sono Il Tuo Sogno Eretico,eretico,15
CapaRezza - Sono troppo stitico,sono,23
CapaRezza - Sono troppo stitico,fare,22
CapaRezza - Sono troppo stitico,troppo,20
CapaRezza - Sono troppo stitico,stitico,20
CapaRezza - Sono troppo stitico,per,21
CapaRezza - Sono troppo stitico,lo,46
CapaRezza - Sono troppo stitico,stronzo,20
CapaRezza - Sono troppo stitico,senti,13
CapaRezza - Sono troppo stitico,vedi,12
CapaRezza - Sono troppo stitico,bene,12
Caparezza - Stango e sbronzo,che,13
Caparezza - Stango e sbronzo,e,11
Caparezza - Stango e sbronzo,la,12
Caparezza - Teste di modì,di,13
Caparezza - Teste di modì,come,15
Caparezza - The auditels family,in,12
Caparezza - The auditels family,che,15
Caparezza - The auditels family,di,13
Caparezza - The auditels family,e,13
Caparezza - The auditels family,per,13
Caparezza - The auditels family,siamo,13
CapaRezza - Ti Clonerò,che,45
CapaRezza - Ti Clonerò,ti,52
CapaRezza - Ti Clonerò,perché,13
CapaRezza - Ti Clonerò,mi,11
CapaRezza - Ti Clonerò,tu,19
CapaRezza - Ti Clonerò,clonerò,33
CapaRezza - Ti Clonerò,so,16
CapaRezza - Ti Clonerò,così,12
CapaRezza - Ti Clonerò,avrò,12
CapaRezza - Ti Clonerò,me,12
CapaRezza - Ti Clonerò,copia,11
CapaRezza - Ti Clonerò,lo,17
CapaRezza - Ti Clonerò,voglia,15
CapaRezza - Ti Clonerò,o,16
CapaRezza - Ti Clonerò,no,15
Caparezza - Ti Fa Stare Bene,di,18
Caparezza - Ti Fa Stare Bene,che,21
Caparezza - Ti Fa Stare Bene,stare,21
Caparezza - Ti Fa Stare Bene,bene,15
Caparezza - Ti Fa Stare Bene,fa,14
Caparezza - Ti Fa Stare Bene,ciò,12
Caparezza - Ti Fa Stare Bene,ti,16
Caparezza - Ti Fa Stare Bene,ne,15
Caparezza - Ti Fa Stare Bene,sta,14
Caparezza - Ti Fa Stare Bene,re,14
Caparezza - Ti Fa Stare Bene,be,14
Caparezza - Ti giri,tg,29
Caparezza - Ti giri,che,11
Caparezza - Ti giri,ti,16
Caparezza - Ti giri,di,17
Caparezza - Ti giri,ma,20
Caparezza - Ti giri,e,11
Caparezza - Ti giri,da,17
Caparezza - Ti giri,non,14
Caparezza - Ti giri,noti,12
Caparezza - Ti giri,fattela,15
Caparezza - Ti giri,solo,15
Caparezza - Ti giri,la,15
Caparezza - Ti giri,verità,15
Caparezza - Titoli,dot,13
Caparezza - Titoli,com,14
Caparezza - Titoli,di,14
Caparezza - Titoli,il,11
Caparezza - Titoli,e,13
CapaRezza - Torna Catalessi,torna,57
CapaRezza - Torna Catalessi,catalessi,23
CapaRezza - Torna Catalessi,di,13
Caparezza - Troppo politico,caparezza,14
Caparezza - Troppo politico,non,14
Caparezza - Troppo politico,mi,25
Caparezza - Troppo politico,piace,14
Caparezza - Troppo politico,perché,17
Caparezza - Troppo politico,è,16
Caparezza - Troppo politico,troppo,55
Caparezza - Troppo politico,politico,59
Caparezza - Troppo politico,sono,13
Caparezza - Troppo politico,di,16
Caparezza - Troppo politico,il,11
Caparezza - Troppo politico,capa,16
Caparezza - Tutto Ciò Che C'è,che,35
Caparezza - Tutto Ciò Che C'è,c,26
Caparezza - Tutto Ciò Che C'è,è,28
Caparezza - Tutto Ciò Che C'è,già,16
Caparezza - Tutto Ciò Che C'è,si,15
Caparezza - Tutto Ciò Che C'è,fa,16
Caparezza - Tutto Ciò Che C'è,la,14
Caparezza - Tutto Ciò Che C'è,possibile,12
Caparezza - Ulisse (You Listen),lei,16
Caparezza - Ulisse (You Listen),è,13
Caparezza - Ulisse (You Listen),non,21
Caparezza - Un vero uomo dovrebbe lavare i piatti,non,44
Caparezza - Un vero uomo dovrebbe lavare i piatti,sei,31
Caparezza - Un vero uomo dovrebbe lavare i piatti,un,42
Caparezza - Un vero uomo dovrebbe lavare i piatti,uomo,40
Caparezza - Un vero uomo dovrebbe lavare i piatti,se,23
Caparezza - Un vero uomo dovrebbe lavare i piatti,i,28
Caparezza - Un vero uomo dovrebbe lavare i piatti,dovrebbe,26
Caparezza - Un vero uomo dovrebbe lavare i piatti,lavare,26
Caparezza - Un vero uomo dovrebbe lavare i piatti,piatti,26
Caparezza - Una Chiave,ti,12
Caparezza - Una Chiave,come,11
Caparezza - Una Chiave,che,25
Caparezza - Una Chiave,e,11
Caparezza - Una Chiave,non,22
Caparezza - Una Chiave,è,15
Caparezza - Uomini di molta fede,di,26
Caparezza - Uomini di molta fede,gli,15
Caparezza - Uomini di molta fede,tra,32
Caparezza - Uomini di molta fede,uomini,15
Caparezza - Uomini di molta fede,fede,20
Caparezza - Uomini di molta fede,che,12
Caparezza - Uomini di molta fede,i,11
Caparezza - Uomini di molta fede,chi,19
Caparezza - Uomini di molta fede,molta,15
Caparezza - Vengo dalla luna,io,52
Caparezza - Vengo dalla luna,vengo,24
Caparezza - Vengo dalla luna,dalla,12
Caparezza - Vengo dalla luna,luna,18
Caparezza - Vengo dalla luna,che,18
Caparezza - Vengo dalla luna,la,14
Caparezza - Vengo dalla luna,non,27
Caparezza - Vengo dalla luna,sono,19
Caparezza - Vieni a ballare in puglia,a,16
Caparezza - Vieni a ballare in puglia,ballare,13
Caparezza - Vieni a ballare in puglia,in,12
Caparezza - Vieni a ballare in puglia,e,19
Caparezza - Vieni a ballare in puglia,puglia,19
Caparezza - Vieni a ballare in puglia,la,12
Caparezza - Vieni a ballare in puglia,che,15
Caparezza - Vieni a ballare in puglia,di,12
Clementino - Babylon (feat. Caparezza),che,12
Clementino - Babylon (feat. Caparezza),a,11
Clementino - Babylon (feat. Caparezza),uh,48
Clementino - Babylon (feat. Caparezza),babylon,13
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),ci,52
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),vuole,50
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),molto,52
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),coraggio,58
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),per,15
Linea 77 - Play & Rewind (feat. Hell Raton & Caparezza),play,16
Linea 77 - Play & Rewind (feat. Hell Raton & Caparezza),and,16
Linea 77 - Play & Rewind (feat. Hell Raton & Caparezza),rewind,16
Linea 77 - Play & Rewind (feat. Hell Raton & Caparezza),la,11
Lucariello - Fore C'a Capa (feat. Caparezza),e,12
Lucariello - Fore C'a Capa (feat. Caparezza),non,13
Lucariello - Fore C'a Capa (feat. Caparezza),di,12
Lucariello - Fore C'a Capa (feat. Caparezza),la,13
Murubutu - Wordsworth (feat. Caparezza),wordsworth,20
Murubutu - Wordsworth (feat. Caparezza),l,15
Murubutu - Wordsworth (feat. Caparezza),uomo,12
Murubutu - Wordsworth (feat. Caparezza),luna,17
Murubutu - Wordsworth (feat. Caparezza),fra,13
Murubutu - Wordsworth (feat. Caparezza),che,18
Murubutu - Wordsworth (feat. Caparezza),per,11
Murubutu - Wordsworth (feat. Caparezza),quanto,19
Murubutu - Wordsworth (feat. Caparezza),e,17
Murubutu - Wordsworth (feat. Caparezza),un,19
Murubutu - Wordsworth (feat. Caparezza),è,16
Murubutu - Wordsworth (feat. Caparezza),il,19
Murubutu - Wordsworth (feat. Caparezza),di,16
Piotta - Troppo avanti (feat. Caparezza),sto,32
Piotta - Troppo avanti (feat. Caparezza),troppo,23
Piotta - Troppo avanti (feat. Caparezza),avanti,32
Piotta - Troppo avanti (feat. Caparezza),non,21
Stylophonic - Morti Pythons (feat. Caparezza),di,11
Stylophonic - Morti Pythons (feat. Caparezza),non,13
Stylophonic - Morti Pythons (feat. Caparezza),mi,12
Stylophonic - Morti Pythons (feat. Caparezza),che,11
Stylophonic - Morti Pythons (feat. Caparezza),morti,13
Two Fingerz - Capra (feat. Caparezza),a,14
Two Fingerz - Capra (feat. Caparezza),la,19
Two Fingerz - Capra (feat. Caparezza),che,16
Two Fingerz - Capra (feat. Caparezza),ho,16
Two Fingerz - Capra (feat. Caparezza),l,12
Two Fingerz - Capra (feat. Caparezza),di,24
Two Fingerz - Capra (feat. Caparezza),capra,44
